Resume_ID,Name,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Skill_Feature_0,Skill_Feature_1,Skill_Feature_2,Skill_Feature_3,Skill_Feature_4,Skill_Feature_5,Skill_Feature_6,Skill_Feature_7,Skill_Feature_8,Skill_Feature_9,Skill_Feature_10,Skill_Feature_11,Skill_Feature_12,Skill_Feature_13,Skill_Feature_14
1,Ashley Ali,1.640556881248887,0,3,0,0,1.0808947772624224,0.8876837017087462,0.7652863600104727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782836373419362,0.0,0.5863226959106564,0.0,0.0,0.5672862866689445
2,Wesley Roman,1.640556881248887,3,2,2,0,1.4328077522020748,-1.279664017845221,0.7652863600104727,0.0,0.39927619763776495,0.0,0.0,0.0,0.7198277043739427,0.0,0.38767153773586266,0.0,0.0,0.2897989730237911,0.0,0.0,0.2969072718535799,0.0
3,Corey Sanchez,-1.2522746099815174,3,1,1,0,-0.3571865039483509,0.5780625989153224,-0.6651554344016261,0.5124195605741088,0.0,0.49095472918684446,0.49095472918684446,0.0,0.0,0.5053247487697211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Elizabeth Carney,0.6762797175054192,1,0,0,0,-1.4388403228143007,-1.589285120638645,0.5268793942751229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4646747867882156,0.636375431689343,0.0,0.0,0.6157139372026015
5,Julie Hill,-0.2879974462380492,4,3,3,0,0.3232422467829984,1.19730480450217,0.7652863600104727,0.0,0.0,0.0,0.0,0.6141273808722898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6430054605852189,0.4575932011301434,0.0
6,Samantha Santos,1.640556881248887,1,2,1,0,-1.3907002600033875,-0.0411796066715253,0.7652863600104727,0.45603409359026126,0.0,0.4369312027583973,0.4369312027583973,0.0,0.0,0.44971997851865386,0.0,0.45603409359026126,0.0,0.0,0.0,0.0,0.0,0.0
7,Tony Smith,-0.2879974462380492,2,0,1,0,-0.598451128928564,1.19730480450217,0.7652863600104727,0.5105795044033113,0.0,0.4891917514464742,0.4891917514464742,0.0,0.0,0.0,0.0,0.5105795044033113,0.0,0.0,0.0,0.0,0.0,0.0
8,Anthony Harrison,-0.6094231674858719,2,0,0,0,0.9988960589127244,0.5780625989153224,0.2884724285397731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782836373419362,0.0,0.5863226959106564,0.0,0.0,0.5672862866689445
9,Nancy Jenkins,0.6762797175054192,3,1,1,0,0.5328620513942702,-0.6604218122583732,0.7652863600104727,0.0,0.0,0.5689397208678282,0.5689397208678282,0.0,0.0,0.0,0.0,0.5938141022556435,0.0,0.0,0.0,0.0,0.0,0.0
10,Courtney Gibson,-1.57370033122934,2,0,0,1,-0.8427977597334614,-1.279664017845221,-2.3340041945490744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5316120769483262,0.3935739484243315,0.5390023268991468,0.0,0.0,0.5215022898911122
11,Laura French,-1.2522746099815174,4,1,3,0,0.3885286800270143,0.5780625989153224,-0.6651554344016261,0.0,0.0,0.0,0.0,0.8018777642322383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59748811806588,0.0
12,Ralph Barrera,-1.57370033122934,3,2,1,1,-0.7503809935256756,-0.0411796066715253,-1.6187832973430252,0.5105795044033113,0.0,0.4891917514464742,0.4891917514464742,0.0,0.0,0.0,0.0,0.5105795044033113,0.0,0.0,0.0,0.0,0.0,0.0
13,David Diaz,-1.57370033122934,2,1,1,0,-1.6459424325265348,1.19730480450217,-0.903562400136976,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0
14,Caitlin Myers,-0.2879974462380492,0,1,3,0,-1.2842191291871834,1.506925907295594,0.7652863600104727,0.0,0.0,0.0,0.0,0.8018777642322383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59748811806588,0.0
15,Tammy Pineda,-1.57370033122934,2,1,0,1,0.7188676141938768,-0.0411796066715253,-1.857190263078375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7022090265001826,0.0,0.711970844277816,0.0,0.0,0.0
